India / State/ Union Territory,Population - 2011 in Million,Decadal Population Growth Rate - 2001-2011,Population Density (per sq.km) - 2011
Andhra Pradesh,4.93,9,308
Arunachal Pradesh,1.38,26,17
Assam,3.12,17.1,398
Bihar,10.40,25.4,1106
Chhattisgarh,2.55,22.6,189
Goa,1.45,8.2,394
Gujarat,6.04,19.3,308
Haryana,2.53,19.9,573
Himachal Pradesh,6.86,12.9,123
Jammu & Kashmir,1.25,23.6,124
Jharkhand,3.29,22.4,414
Karnataka,6.10,15.6,319
Kerala,3.34,4.9,860
Madhya Pradesh,7.26,20.3,236
Maharashtra,11.23,16,365
Manipur,2.85,31.8,115
Meghalaya,2.96,27.9,132
Mizoram,1.09,23.5,52
Nagaland,1.97,-0.6,119
Odisha,4.19,14,270
Punjab,2.77,13.9,551
Rajasthan,6.85,21.3,200
Sikkim,0.61,12.9,86
Tamil Nadu,7.21,15.6,555
Telangana,3.51,13.6,307
Tripura,3.67,14.8,350
Uttarakhand,1.00,18.8,189
Uttar Pradesh,19.98,20.2,829
West Bengal,9.12,13.8,1028
Andaman & Nicobar Island,0.38,6.9,46
Chandigarh,1.05,17.2,9258
Dadra & Nagar Haveli,0.34,55.9,700
Daman & Diu,0.24,53.8,2191
Delhi,1.67,21.2,11320
Lakshadweep,0.06,6.3,2149
Puducherry,0.12,28.1,2547
